tag_id,user_id
18,47
15,35
34,20
72,49
47,46
79,21
81,6
77,37
89,14
74,6
5,29
25,7
117,36
56,39
76,12
5,18
70,44
24,8
42,6
3,33
61,28
4,45
43,16
90,30
107,32
30,26
73,8
105,44
118,17
14,21
105,37
29,37
106,12
13,23
43,18
101,22
35,29
95,30
71,7
103,28
74,11
3,7
123,42
109,22
111,43
66,39
26,32
7,34
45,8
122,30
76,41
4,48
40,6
20,50
17,28
45,37
13,36
82,25
50,23
27,31
28,29
75,43
66,35
79,25
109,31
40,27
30,49
105,37
51,38
70,10
99,9
29,12
78,33
23,33
18,15
100,26
62,49
91,44
89,14
13,41
86,32
11,37
117,30
52,28
99,9
73,39
74,9
32,46
58,46
3,14
117,8
114,12
16,27
101,11
31,40
100,8
83,39
75,32
85,49
87,30
105,38
32,39
114,19
89,27
37,43
70,14
51,7
18,8
65,43
110,43
94,50
38,9
28,50
17,13
40,46
112,7
35,21
5,29
49,43
118,46
30,49
85,11
10,24
70,36
78,21
92,16
82,12
3,18
10,34
95,29
38,41
80,14
100,41
61,8
69,21
51,17
18,32
60,36
94,23
122,10
74,43
111,37
93,29
90,30
78,33
68,17
60,16
78,11
12,36
9,16
57,31
64,11
73,44
98,40
39,27
70,22
4,10
53,37
91,7
118,47
21,50
105,14
30,37
68,26
88,40
107,35
55,33
25,44
4,11
60,7
6,9
101,19
105,38
31,34
104,31
110,6
5,28
67,8
94,19
41,42
64,16
84,11
109,15
114,15
60,7
112,35
107,29
31,31
30,45
121,12
19,6
75,12
6,12
19,45
121,48
97,17
113,50
105,24
117,11
88,11
101,13
104,49
40,32
78,38
62,9
31,28
108,27
80,21
123,45
4,16
40,15
96,11
53,7
35,29
1,25
33,36
43,12
100,27
111,49
91,30
27,39
19,23
117,34
41,24
76,30
72,33
115,8
96,13
54,47
47,45
26,32
84,40
51,13
18,37
42,44
29,20
22,19
80,24
27,9
88,16
81,27
3,47
40,18
32,43
110,42
65,42
38,11
95,49
102,43
89,18
94,6
18,45
17,48
11,11
9,24
108,13
9,17
30,8
54,7
90,25
27,37
5,19
44,12
13,43
21,43
16,39
111,44
41,44
67,11
4,8
99,28
2,8
119,7
22,30
78,15
40,48
91,23
58,35
12,39
43,30
71,29
20,19
57,34
17,50
4,33
32,22
117,25
123,11
70,33
115,19
76,45
27,32
82,13
30,39
120,11
95,22
117,14
59,47
41,10
98,15
