question_id,tag_id
29,25
13,71
43,50
48,65
46,12
32,41
12,71
7,17
34,93
22,57
33,44
28,25
30,23
35,21
28,15
36,123
3,95
43,91
15,50
11,102
15,31
48,68
19,46
6,14
40,93
18,120
50,82
50,14
42,116
48,74
36,3
4,105
13,51
4,74
28,120
38,79
39,119
30,29
1,46
28,118
11,63
5,55
1,20
31,54
16,26
46,101
28,29
48,105
27,88
9,116
7,84
2,55
49,43
15,26
44,11
35,19
45,101
40,121
7,112
10,68
50,36
9,70
46,29
2,91
23,65
35,75
27,123
3,113
34,52
41,111
6,96
17,21
20,110
49,65
40,47
45,44
8,67
8,34
29,85
33,34
12,42
7,53
47,69
26,50
48,97
12,7
50,68
36,64
9,59
46,68
46,15
10,116
22,48
41,115
18,105
16,79
33,67
23,102
31,59
24,37
37,19
46,18
12,66
45,30
20,85
48,43
30,72
34,88
35,49
37,7
9,33
15,62
21,74
5,82
22,104
16,68
29,86
44,6
17,63
22,17
21,77
45,30
41,3
8,84
24,110
38,97
13,52
24,94
22,6
2,121
38,73
33,85
50,114
29,88
37,71
4,59
33,65
5,28
47,90
40,89
10,36
21,65
10,64
35,2
35,28
12,36
32,112
19,2
24,91
9,70
