user_id,question_id
47,3
41,2
29,44
8,36
6,32
37,40
15,11
33,19
18,49
36,9
33,1
34,9
14,14
40,13
37,27
17,36
42,47
6,15
47,44
6,10
41,36
25,9
40,41
28,30
32,26
49,33
47,39
10,35
50,28
46,10
39,44
34,4
13,11
11,10
32,19
37,6
21,11
9,35
24,35
23,50
26,37
35,30
28,50
44,31
19,35
15,22
22,7
43,22
44,40
50,14
8,22
39,38
37,37
31,37
11,23
27,27
39,12
38,33
50,1
19,50
19,6
6,20
49,3
28,50
48,21
30,1
18,43
15,13
6,33
47,9
34,11
49,22
8,40
20,4
29,50
30,15
49,49
12,42
34,29
29,5
49,46
10,46
6,40
23,9
18,13
25,26
40,45
11,23
43,30
13,27
11,36
21,42
48,29
18,27
7,15
20,46
38,48
50,45
34,4
7,48
49,1
40,8
39,13
10,14
45,28
10,15
10,7
37,29
30,37
22,25
40,3
42,29
33,41
13,34
46,39
10,12
25,29
46,5
44,13
21,39
41,35
20,2
20,9
6,27
47,6
15,13
26,29
19,34
21,36
21,4
28,41
43,44
25,16
26,10
46,45
37,4
15,35
26,42
22,29
11,4
16,28
50,39
21,1
6,7
25,17
37,45
21,16
49,37
24,3
17,14
