user_id,question_id,upvote
46,44,TRUE
12,46,FALSE
18,33,FALSE
13,42,FALSE
38,3,NULL
9,31,FALSE
23,50,FALSE
13,37,TRUE
25,40,FALSE
19,1,TRUE
32,5,TRUE
46,16,TRUE
45,22,NULL
19,44,TRUE
37,17,TRUE
36,24,NULL
26,35,NULL
10,1,NULL
49,38,FALSE
47,50,NULL
18,35,FALSE
50,9,FALSE
7,3,FALSE
27,48,TRUE
36,47,NULL
40,2,FALSE
22,11,FALSE
38,20,NULL
6,38,TRUE
22,17,TRUE
41,40,FALSE
32,49,NULL
33,11,FALSE
16,37,TRUE
30,37,TRUE
33,17,NULL
45,31,FALSE
35,43,TRUE
21,40,TRUE
33,49,NULL
12,12,FALSE
10,34,FALSE
29,33,FALSE
29,5,TRUE
35,18,NULL
20,1,NULL
26,3,FALSE
34,32,NULL
41,39,NULL
16,34,NULL
27,34,FALSE
21,21,FALSE
46,6,FALSE
50,3,TRUE
7,50,TRUE
27,2,FALSE
10,7,TRUE
39,28,NULL
21,45,TRUE
16,35,NULL
35,21,FALSE
23,7,TRUE
46,42,NULL
43,3,FALSE
43,34,FALSE
33,9,NULL
32,44,FALSE
30,44,FALSE
33,10,FALSE
7,6,FALSE
32,18,NULL
38,25,NULL
50,50,FALSE
46,28,NULL
7,18,FALSE
48,25,FALSE
25,30,FALSE
47,42,TRUE
20,10,FALSE
30,14,FALSE
9,37,NULL
11,37,NULL
40,39,TRUE
49,44,TRUE
19,14,NULL
11,36,FALSE
9,44,TRUE
36,31,TRUE
6,23,TRUE
14,28,TRUE
6,39,FALSE
47,21,FALSE
23,49,TRUE
6,34,FALSE
12,15,TRUE
34,40,FALSE
50,32,FALSE
15,22,TRUE
8,4,TRUE
18,30,NULL
30,49,NULL
48,13,FALSE
45,9,TRUE
14,12,NULL
29,42,TRUE
41,8,FALSE
23,46,FALSE
35,17,FALSE
12,18,TRUE
39,26,FALSE
35,25,NULL
29,10,FALSE
33,19,TRUE
24,32,NULL
15,47,FALSE
39,6,TRUE
9,1,NULL
23,10,FALSE
50,30,NULL
32,20,FALSE
14,25,TRUE
33,9,TRUE
38,16,NULL
18,21,NULL
18,20,NULL
45,28,NULL
26,14,TRUE
49,27,TRUE
25,8,TRUE
44,34,NULL
13,41,TRUE
14,13,FALSE
7,1,TRUE
9,8,TRUE
28,34,TRUE
26,14,TRUE
46,16,FALSE
48,33,FALSE
8,7,FALSE
18,22,FALSE
46,49,NULL
36,30,NULL
47,1,NULL
43,48,FALSE
14,44,NULL
47,34,FALSE
18,22,NULL
15,33,NULL
42,4,FALSE
24,37,FALSE
6,12,FALSE
6,27,NULL
16,17,TRUE
37,47,TRUE
32,33,FALSE
20,26,NULL
28,39,FALSE
23,40,NULL
37,13,TRUE
20,35,TRUE
6,26,FALSE
50,9,NULL
19,34,TRUE
17,36,FALSE
16,31,TRUE
16,21,FALSE
33,41,NULL
48,6,TRUE
46,49,FALSE
50,27,FALSE
18,36,TRUE
36,36,FALSE
31,25,FALSE
35,6,NULL
18,12,FALSE
9,1,FALSE
18,15,TRUE
16,25,FALSE
37,16,TRUE
48,14,NULL
43,17,TRUE
20,21,FALSE
19,50,TRUE
30,33,TRUE
33,17,FALSE
14,39,FALSE
9,24,TRUE
11,37,FALSE
28,40,TRUE
24,22,NULL
48,13,NULL
22,5,NULL
19,2,TRUE
38,14,NULL
40,4,NULL
46,46,TRUE
44,10,TRUE
32,5,TRUE
44,13,NULL
41,42,FALSE
12,29,NULL
41,22,FALSE
50,36,FALSE
44,23,FALSE
20,27,TRUE
46,34,TRUE
18,9,TRUE
10,9,NULL
26,33,FALSE
7,27,FALSE
10,31,FALSE
23,12,FALSE
29,14,FALSE
22,18,FALSE
22,28,NULL
22,50,FALSE
28,16,FALSE
19,20,FALSE
39,48,FALSE
34,44,FALSE
13,33,FALSE
19,8,NULL
18,9,NULL
40,49,TRUE
40,46,NULL
49,7,NULL
28,46,FALSE
10,35,FALSE
32,5,FALSE
27,41,NULL
43,4,FALSE
47,47,TRUE
21,15,FALSE
37,47,FALSE
34,22,FALSE
12,33,NULL
21,39,NULL
39,29,TRUE
42,12,TRUE
50,48,TRUE
42,29,FALSE
12,8,TRUE
28,2,FALSE
17,27,TRUE
17,41,TRUE
47,49,FALSE
27,34,NULL
17,21,FALSE
38,29,TRUE
41,17,NULL
20,36,FALSE
41,36,FALSE
10,21,FALSE
42,33,TRUE
37,8,FALSE
31,37,TRUE
34,27,FALSE
36,43,NULL
50,39,FALSE
12,37,FALSE
43,23,FALSE
13,40,NULL
30,31,FALSE
27,49,TRUE
14,30,FALSE
14,39,TRUE
32,24,TRUE
33,15,TRUE
22,12,TRUE
9,14,TRUE
34,8,FALSE
49,23,NULL
38,33,TRUE
19,22,NULL
17,41,TRUE
16,33,NULL
38,42,FALSE
6,14,NULL
10,37,TRUE
34,1,TRUE
34,42,FALSE
36,18,FALSE
49,5,FALSE
38,8,FALSE
47,34,NULL
40,10,NULL
37,34,FALSE
33,20,TRUE
50,41,TRUE
23,9,NULL
27,40,FALSE
18,5,TRUE
10,4,NULL
38,19,FALSE
25,14,NULL
22,17,TRUE
15,46,FALSE
17,23,TRUE
18,3,FALSE
28,20,TRUE
36,34,NULL
34,44,NULL
49,38,NULL
49,9,FALSE
32,37,TRUE
36,47,NULL
40,24,TRUE
25,38,TRUE
32,38,FALSE
30,27,NULL
40,36,NULL
47,18,NULL
24,28,TRUE
50,2,NULL
14,16,NULL
30,14,NULL
6,2,TRUE
45,22,TRUE
13,4,TRUE
27,18,TRUE
13,17,FALSE
6,9,NULL
20,20,NULL
25,4,TRUE
8,15,FALSE
40,26,TRUE
31,7,TRUE
42,9,NULL
47,44,NULL
31,28,FALSE
48,3,NULL
46,43,NULL
25,30,TRUE
14,3,FALSE
38,12,FALSE
46,25,FALSE
11,15,TRUE
20,10,TRUE
32,26,FALSE
49,23,FALSE
26,2,NULL
13,17,NULL
46,31,NULL
11,24,FALSE
22,46,NULL
13,37,NULL
42,2,TRUE
34,45,FALSE
18,4,FALSE
21,5,NULL
49,30,TRUE
41,42,TRUE
8,13,TRUE
29,12,TRUE
44,13,TRUE
12,44,NULL
29,47,NULL
39,24,TRUE
30,47,NULL
21,42,TRUE
14,31,TRUE
10,25,NULL
37,50,NULL
10,37,NULL
36,41,NULL
21,13,TRUE
45,28,NULL
40,14,FALSE
30,26,TRUE
42,14,NULL
30,3,TRUE
12,19,TRUE
13,8,FALSE
38,6,NULL
13,50,TRUE
27,13,NULL
41,36,NULL
6,6,TRUE
18,31,NULL
23,43,TRUE
19,42,FALSE
29,33,NULL
32,35,FALSE
24,20,NULL
18,37,FALSE
7,15,NULL
9,50,FALSE
21,25,TRUE
23,38,NULL
44,46,TRUE
37,30,TRUE
21,15,TRUE
48,39,TRUE
43,49,TRUE
8,8,FALSE
31,2,NULL
22,37,FALSE
19,44,FALSE
12,27,NULL
37,12,NULL
32,12,NULL
29,40,NULL
15,21,FALSE
9,25,FALSE
25,3,FALSE
29,13,TRUE
16,34,NULL
18,30,TRUE
43,23,TRUE
21,8,FALSE
39,44,TRUE
14,8,NULL
34,7,NULL
44,15,FALSE
36,46,NULL
11,28,NULL
33,50,NULL
7,47,FALSE
36,36,TRUE
31,36,NULL
26,45,FALSE
9,28,NULL
33,17,NULL
41,16,NULL
18,18,FALSE
38,30,TRUE
23,5,NULL
30,42,FALSE
37,4,NULL
31,28,NULL
28,22,NULL
25,21,TRUE
49,46,FALSE
39,17,FALSE
11,43,FALSE
24,9,TRUE
19,47,TRUE
31,44,FALSE
30,19,NULL
44,29,TRUE
48,26,TRUE
48,35,TRUE
10,33,FALSE
44,22,NULL
48,50,NULL
11,16,FALSE
21,30,TRUE
40,33,TRUE
46,11,FALSE
11,10,TRUE
37,1,FALSE
24,20,FALSE
32,21,FALSE
6,4,TRUE
12,32,TRUE
44,31,NULL
17,49,TRUE
22,5,TRUE
8,2,TRUE
